id,timestamp,version,changeset,user,uid,tags,object_type,member_osmid,member_role,osmid,name,type,route,power,voltage,substation,line,circuits,cables,wires,operator,operator:wikidata,location,note,wikidata
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851035,,route,power,,132000,,,,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820713,line,relation/4851035,,route,power,,132000,,,,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598391,sub_station,relation/4851035,,route,power,,132000,,,,3,single,,,,,
4851035,2015-05-03T19:30:56Z,2,30757625,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Shivapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342598384,line,relation/4851035,,route,power,,132000,,,,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820719,line,relation/4851036,,route,power,,132000,,,,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855905,line,relation/4851036,,route,power,,132000,,,,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/306272062,sub_station,relation/4851036,,route,power,,132000,,,,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341820721,line,relation/4851036,,route,power,,132000,,,,3,single,,,,,
4851036,2015-04-30T19:01:27Z,4,30668628,bahnpirat,13203,"{'cables': '3', 'from': 'Lamahi', 'route': 'power', 'to': 'Kohalpur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341855906,sub_station,relation/4851036,,route,power,,132000,,,,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342027062,line,relation/4853182,,route,power,,132000,,,,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342031426,line,relation/4853182,,route,power,,132000,,,,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/286445650,sub_station,relation/4853182,,route,power,,132000,,,,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342027063,sub_station,relation/4853182,,route,power,,132000,,,,3,single,,,,,
4853182,2015-05-01T11:37:21Z,4,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Bhotekoshi', 'route': 'power', 'to': 'Lamosangu', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/342007178,sub_station,relation/4853182,,route,power,,132000,,,,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341318697,line,relation/4853310,,route,power,,132000,,,,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/137569050,sub_station,relation/4853310,,route,power,,132000,,,,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341930677,line,relation/4853310,,route,power,,132000,,,,3,single,,,,,
4853310,2015-05-01T11:41:42Z,3,30687589,bahnpirat,13203,"{'cables': '3', 'from': 'Lamosangu', 'route': 'power', 'to': 'Bhaktapur', 'type': 'route', 'voltage': '132000', 'wires': 'single'}",relation,way/341930676,line,relation/4853310,,route,power,,132000,,,,3,single,,,,,
